target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
opp_vnpy	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	vnpy の回は足の回(BarData)か tick の回(TickData: 最終約定と 5 段の板の写真を 1 つに持つ)のどちらか 1 つで、足と約定と資金調達を 1 つの回で を型として戦略に渡す口が無い(戦略の呼び口は on_bar / on_tick / on_order / on_trade / on_stop_order)。試したこと: 足と tick を 1 つの history_data に並べて足の回で走らせた -> 戦略が受けたもの [('bar', 1700092800000000000), ('bar', 1700179200000000000)]。接続の試み 0 件(adapter の socket の関門で数えた)	null
opp_vnpy	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	足の回。on_bar の各回に bar.datetime を記録。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": [{""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}, {""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}, {""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}, {""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}, {""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}]}"
opp_vnpy	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	vnpy の回は足の回(BarData)か tick の回(TickData: 最終約定と 5 段の板の写真を 1 つに持つ)のどちらか 1 つで、足と約定を 1 つの回で を型として戦略に渡す口が無い(戦略の呼び口は on_bar / on_tick / on_order / on_trade / on_stop_order)。試したこと: 足と tick を 1 つの history_data にして足の回 -> on_bar / on_tick が受けたもの [('bar', 'BarData'), ('bar', 'TickData')]。接続の試み 0 件(adapter の socket の関門で数えた)	null
opp_vnpy	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	vnpy の時刻の文字列の変換 vnpy.alpha.to_datetime を読み込めなかった -> ModuleNotFoundError: No module named 'polars'。接続の試み 0 件(adapter の socket の関門で数えた)	null
opp_vnpy	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	vnpy の時刻の文字列の変換 vnpy.alpha.to_datetime を読み込めなかった -> ModuleNotFoundError: No module named 'polars'。接続の試み 0 件(adapter の socket の関門で数えた)	null
opp_vnpy	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456000]}"	ok	"{""observed_ts_ns"": [1700006400123456000]}"	"{""observed_ts_ns"": [1700006400123456789]}"	足の datetime に事象の時刻を入れ、on_bar の bar.datetime を読んだ(datetime はマイクロ秒までで、下 3 桁は落ちる)。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": [{""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}]}"
opp_vnpy	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足の datetime に事象の時刻を入れ、on_bar の bar.datetime を読んだ(datetime はマイクロ秒までで、下 3 桁は落ちる)。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": [{""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}, {""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.BarData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}]}"
opp_vnpy	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	市場の約定を 1 件ずつの型として戦略に渡す口が無い。市場の型は足(BarData)と tick(TickData)の 2 つで、TickData は 5 段の板の写真に最終約定の値と量(last_price / last_volume)を添えた 1 つの写真(売り買いの向きの欄が無い。欄 ['gateway_name', 'extra', 'symbol', 'exchange', 'datetime', 'name', 'volume', 'turnover', 'open_interest', 'last_price', 'last_volume', 'limit_up', 'limit_down', 'open_price', 'high_price', 'low_price', 'pre_close', 'bid_price_1', 'bid_price_2', 'bid_price_3', 'bid_price_4', 'bid_price_5', 'ask_price_1', 'ask_price_2', 'ask_price_3', 'ask_price_4', 'ask_price_5', 'bid_volume_1', 'bid_volume_2', 'bid_volume_3', 'bid_volume_4', 'bid_volume_5', 'ask_volume_1', 'ask_volume_2', 'ask_volume_3', 'ask_volume_4', 'ask_volume_5', 'localtime'])。型で見分けられない写真に約定を入れても約定の事象にはならない(p3-book_snapshot はこの型で測る)。TradeData は自分の注文の約定の知らせ(on_trade)で、市場の約定を渡す口ではない。入れようとした約定 {'kind': 'trade', 'ts_ns': 1700092800000000000, 'price': 5012345.0, 'qty': 0.01, 'side': 'buy'}。接続の試み 0 件(adapter の socket の関門で数えた)	null
opp_vnpy	p3-book_snapshot	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	ok	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	tick の回。TickData の 5 段の板(bid/ask_price_1..5 と volume)に板の写真を入れ、on_tick で読んだ(値が 0 の段は空の段)。接続の試み 0 件(adapter の socket の関門で数えた)	"{""carriers"": [{""held_by"": ""vnpy_adapter.py:run:data"", ""input"": ""adapter が対象の型で組んで対象に渡した入力(対象が届けた)"", ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy_ctastrategy/backtesting.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""vnpy.trader.object.TickData"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/vnpy/lib/python3.11/site-packages/vnpy/trader/object.py""}]}"
opp_vnpy	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	vnpy の回は足の回(BarData)か tick の回(TickData: 最終約定と 5 段の板の写真を 1 つに持つ)のどちらか 1 つで、book_delta を型として戦略に渡す口が無い(戦略の呼び口は on_bar / on_tick / on_order / on_trade / on_stop_order)。TickData の欄 ['gateway_name', 'extra', 'symbol', 'exchange', 'datetime', 'name', 'volume', 'turnover', 'open_interest', 'last_price', 'last_volume', 'limit_up']…。接続の試み 0 件(adapter の socket の関門で数えた)	null
