target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
opp_isaaccheng_obsim	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の結果: p3-trade: not_supported / p3-book_snapshot: not_supported / p3-book_delta: not_supported / p3-bar: not_supported / p3-funding: not_supported / p3-liquidation: not_supported)	null
opp_isaaccheng_obsim	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
opp_isaaccheng_obsim	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の結果: p3-trade: not_supported / p3-book_snapshot: not_supported / p3-book_delta: not_supported / p3-bar: not_supported / p3-funding: not_supported / p3-liquidation: not_supported)	null
opp_isaaccheng_obsim	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
opp_isaaccheng_obsim	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
opp_isaaccheng_obsim	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
opp_isaaccheng_obsim	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
opp_isaaccheng_obsim	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
opp_isaaccheng_obsim	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
opp_isaaccheng_obsim	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	order-book-simulator は取引所を模す仕事(利用者の注文を HTTP で受けて値段と時刻の優先で照合し、板の差分を配る)で、過去の相場の事象を流して戦略を事象ごとに呼ぶ検証の機関が無い(戦略が無いので、事象の型・時刻・時計・通知を戦略に渡す口も、約定・遅延・費用・口座を差し込む口も無い。板と約定は自分の照合の結果として持つ)。試したこと: OrderBook(stock_id, 'X').add_order(売り 指値 100 × 1) -> 約定 0 件; add_order(買い 成行 1) -> 約定 1 件(値 ['100.0']、created_at は注文を受けた時刻で、板の中の時間優先に使う); get_full_snapshot() の鍵 ['asks', 'bids']	null
