scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: PineForge (commit 5e62602c, native C API): maker_fee_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / slippage_pct: 滑りの口を探したが無い(run spec は fee kind / value だけ: i2drv70.c 80-85 行) / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission) / 足ごとの資産の推移の口を探したが無い	-	結果なし	場合 0: adapter: PineForge (commit 5e62602c, native C API): maker_fee_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / slippage_pct: 滑りの口を探したが無い(run spec は fee kind / value だけ: i2drv70.c 80-85 行) / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission) / 足ごとの資産の推移の口を探したが無い	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): stop_loss_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / swap_daily_pct: 持ち越しの口を探したが無い / maker_fee_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / slippage_pct: 滑りの口を探したが無い(run spec は fee kind / value だけ: i2drv70.c 80-85 行) / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission) / 足ごとの資産の推移の口を探したが無い / この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): stop_loss_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / swap_daily_pct: 持ち越しの口を探したが無い / maker_fee_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / slippage_pct: 滑りの口を探したが無い(run spec は fee kind / value だけ: i2drv70.c 80-85 行) / spread_pct: スプレッドの口を探したが無い / 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission) / 足ごとの資産の推移の口を探したが無い / この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道	-	結果なし	0.0	0.0
i4-3-e2e-maker	I4-3	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): execution: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / stop_loss_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / maker_tp_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / exit_execution: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / m	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): execution: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / stop_loss_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / maker_tp_pct: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / exit_execution: この driver は要求を走らせる前に決めるので、約定を見てから置く注文(待つ指値・約定値からの逆指値・利確)を渡せない(道具の C API には LIMIT / STOP の trigger がある: 項目 2 の driver が使った) / m	-	結果なし	0.0	0.0
i4-4-plain	I4-4	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission)	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission)	-	結果なし	0.0	0.0
i4-4-fee	I4-4	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission)	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): 決済ごとの損益の口を探したが無い(report の取引は entry・qty・commission)	-	結果なし	0.0	0.0
i4-5-fills	I4-5	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): 入力は足(pf_bar_t)の列だけで、約定・気配・板・ファイルの宣言・目的つきの書き出し・ダッシュボードの口が無い	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): 入力は足(pf_bar_t)の列だけで、約定・気配・板・ファイルの宣言・目的つきの書き出し・ダッシュボードの口が無い	-	結果なし	0.003	0.004
i4-5-outputs	I4-5	能力	結果なし	adapter: PineForge (commit 5e62602c, native C API): 入力は足(pf_bar_t)の列だけで、約定・気配・板・ファイルの宣言・目的つきの書き出し・ダッシュボードの口が無い	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): 入力は足(pf_bar_t)の列だけで、約定・気配・板・ファイルの宣言・目的つきの書き出し・ダッシュボードの口が無い	-	結果なし	0.001	0.001
i4-6-label	I4-6	値	結果なし	adapter: PineForge (commit 5e62602c, native C API): 入力は足(pf_bar_t)の列だけで、約定・気配・板・ファイルの宣言・目的つきの書き出し・ダッシュボードの口が無い	-	結果なし	adapter: PineForge (commit 5e62602c, native C API): 入力は足(pf_bar_t)の列だけで、約定・気配・板・ファイルの宣言・目的つきの書き出し・ダッシュボードの口が無い	-	結果なし	0.001	0.001
