target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1
current_impl	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	足以外(約定・資金調達)を含む入力を渡す口が無い。試したこと: run_backtest は例外を出さずに走った。run_backtest の入力は candles 1 つだけ(複数の入力を渡す引数も無い: run_backtest(..., streams=...) -> TypeError: run_backtest() got an unexpected keyword argument 'streams')
current_impl	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	足 5 本を DataFrame で渡し、on_candles の各呼び出しで candles の最後の行の時刻を記録
current_impl	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	約定を渡す口が無い。試したこと: run_backtest(strategy, candles=<['price', 'qty', 'side'] の DataFrame>) -> KeyError: 'close'
current_impl	p2-iso-utc	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	当方のデータの道の時刻の変換(pandas)で pd.Timestamp(iso).value
current_impl	p2-iso-offset	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	pd.Timestamp(iso).tz_convert('UTC').value
current_impl	p2-event-time-exact	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456789]}"	ok	"{""observed_ts_ns"": [1700006400123456789]}"	"{""observed_ts_ns"": [1700006400123456789]}"	足(OHLC=100)で渡し、各呼び出しの candles.index[-1].value を記録
current_impl	p2-one-ns-apart	P0-2	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足(OHLC=100)で渡し、各呼び出しの candles.index[-1].value を記録
current_impl	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	「trade」を渡す口が無い。試したこと: run_backtest(strategy, candles=<['price', 'qty', 'side'] の DataFrame>) -> KeyError: 'close'
current_impl	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	「book_snapshot」を渡す口が無い。試したこと: run_backtest(strategy, candles=<['bids', 'asks'] の DataFrame>) -> KeyError: 'close'
current_impl	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	「book_delta」を渡す口が無い。試したこと: run_backtest(strategy, candles=<['side', 'price', 'qty'] の DataFrame>) -> KeyError: 'close'
current_impl	p3-bar	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	足 1 本を渡し、呼び出しで受け取った行を記録
current_impl	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	「funding」を渡す口が無い。試したこと: run_backtest(strategy, candles=<['rate'] の DataFrame>) -> KeyError: 'close'
current_impl	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	「liquidation」を渡す口が無い。試したこと: run_backtest(strategy, candles=<['price', 'qty', 'side'] の DataFrame>) -> KeyError: 'close'
current_impl	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	足以外の 5 種を渡す口が無い。試したこと: run_backtest(strategy, candles=<['price', 'qty', 'side', 'bids', 'asks', 'rate'] の DataFrame>) -> KeyError: 'close'
current_impl	p3-clock-timer	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""clock_calls_ns"": [1700352000000000000]}"	戦略は on_candles から Signal を返すだけで、時刻を頼む口が無い。試したこと: Signal(type=HOLD, timer_ns=...) -> TypeError: Signal.__init__() got an unexpected keyword argument 'timer_ns' / run_backtest(..., timers=...) -> TypeError: run_backtest() got an unexpected keyword argument 'timers'
current_impl	p3-notice-accepted	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""accepted""]}"	戦略へ通知を届ける呼び出しが無い。試したこと: 約定を足に代えて(any_type)1 回目に BUY を返し、エンジンが戦略に対して呼んだ名前を記録 -> ['min_history', 'on_candles'](on_candles と min_history だけ)。Strategy の文書(base.py 2〜4 行)も「注文を知らない」と書く
current_impl	p3-notice-rejected	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""rejected""]}"	戦略へ通知を届ける呼び出しが無い。試したこと: 約定を足に代えて(any_type)1 回目に BUY を返し、エンジンが戦略に対して呼んだ名前を記録 -> ['min_history', 'on_candles'](on_candles と min_history だけ)。Strategy の文書(base.py 2〜4 行)も「注文を知らない」と書く
current_impl	p3-notice-filled	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_in_notices"": 1.0}"	戦略へ通知を届ける呼び出しが無い。試したこと: 約定を足に代えて(any_type)1 回目に BUY を返し、エンジンが戦略に対して呼んだ名前を記録 -> ['min_history', 'on_candles'](on_candles と min_history だけ)。Strategy の文書(base.py 2〜4 行)も「注文を知らない」と書く
current_impl	p4-visible-at-step	P0-4	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	ok	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	T0 + 4 日の呼び出しの on_candles で受け取った candles の件数と close の最大
current_impl	p4-received-time	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""price101_delivered_at_ns"": 1700265600000000000, ""price101_visible_at_day2"": false, ""price101_visible_at_day4"": true}"	1 件に時刻を 1 つしか持てない(candles の DataFrame の添字 1 つ)。受け取れる時刻を別に渡す口が無い。試したこと: run_backtest(..., received_time=...) -> TypeError: run_backtest() got an unexpected keyword argument 'received_time' / run_backtest(..., latency=...) -> TypeError: run_backtest() got an unexpected keyword argument 'latency'
current_impl	p4-future-read-attempt	P0-4	capability	不一致	不一致	2 回の実行で同じ	ok	"{""every_attempt_stopped_by_error"": false, ""future_value_obtained"": false, ""raw"": {""attempts"": [{""form"": ""position"", ""means"": ""candles.iloc[4](最新の次の位置)"", ""message"": ""single positional indexer is out-of-bounds"", ""raised"": ""IndexError"", ""returned"": null}, {""form"": ""time"", ""means"": ""candles.loc[5 本目の時刻]"", ""message"": ""Timestamp('2023-11-20 00:00:00+0000', tz='UTC')"", ""raised"": ""KeyError"", ""returned"": null}, {""form"": ""position"", ""means"": ""candles['close'].shift(-1).iloc[-1](最新の次を先の参照で)"", ""raised"": null, ""returned"": NaN}, {""form"": ""other"", ""means"": ""candles['close'] の全部"", ""raised"": null, ""returned"": [100.0, 101.0, 102.0, 103.0]}]}}"	ok	"{""every_attempt_stopped_by_error"": false, ""future_value_obtained"": false, ""raw"": {""attempts"": [{""form"": ""position"", ""means"": ""candles.iloc[4](最新の次の位置)"", ""message"": ""single positional indexer is out-of-bounds"", ""raised"": ""IndexError"", ""returned"": null}, {""form"": ""time"", ""means"": ""candles.loc[5 本目の時刻]"", ""message"": ""Timestamp('2023-11-20 00:00:00+0000', tz='UTC')"", ""raised"": ""KeyError"", ""returned"": null}, {""form"": ""position"", ""means"": ""candles['close'].shift(-1).iloc[-1](最新の次を先の参照で)"", ""raised"": null, ""returned"": NaN}, {""form"": ""other"", ""means"": ""candles['close'] の全部"", ""raised"": null, ""returned"": [100.0, 101.0, 102.0, 103.0]}]}}"	"{""every_attempt_stopped_by_error"": true, ""future_value_obtained"": false}"	T0 + 4 日の呼び出しの on_candles の中で試した: [position] candles.iloc[4](最新の次の位置) IndexError: single positional indexer is out-of-bounds ; [time] candles.loc[5 本目の時刻] KeyError: Timestamp('2023-11-20 00:00:00+0000', tz='UTC') ; [position] candles['close'].shift(-1).iloc[-1](最新の次を先の参照で) -> nan ; [other] candles['close'] の全部 -> [100.0, 101.0, 102.0, 103.0]。戦略が持つのは渡された candles だけ(エンジンは candles.iloc[: i + 1] を渡す)
current_impl	p5-same-time-twice	P0-5	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""delivered_as_multiset"": [[""bar"", 1700092800000000000], [""funding"", 1700092800000000000], [""liquidation"", 1700092800000000000], [""trade"", 1700092800000000000]], ""follows_stated_rule"": true}"	同時刻の 4 種(約定・足・資金調達・清算)のうち足以外を渡す口が無い。試したこと: run_backtest は例外を出さずに走った
current_impl	p5-hand-over-order	P0-5	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""every_run_delivers_each_once"": true, ""every_run_follows_stated_rule"": true, ""same_order_whatever_the_hand_over"": true}"	足以外を渡す口が無い。試したこと: run_backtest は例外を出さずに走った
current_impl	p5-same-stream-order	P0-5	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""prices"": [101.0, 99.0, 100.0]}"	ok	"{""prices"": [101.0, 99.0, 100.0]}"	"{""prices"": [101.0, 99.0, 100.0]}"	約定を足に代えて渡し、呼び出しごとの close を記録
current_impl	p6-place-then-cancel	P0-6	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""open_at_call2"": 1, ""open_at_call3"": 0}"	戦略に指値を出す口・取り消す口・未決の注文を読む口が無い。Signal は BUY/SELL/CLOSE/HOLD だけ。試したこと: Signal(type=HOLD, limit_price=...) -> TypeError: Signal.__init__() got an unexpected keyword argument 'limit_price' / Signal(type=HOLD, cancel=...) -> TypeError: Signal.__init__() got an unexpected keyword argument 'cancel'
current_impl	p6-cancel-notice	P0-6	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""cancel_notice_received"": true}"	取消の口も通知の口も無い。試したこと: Signal(type=HOLD, cancel=...) -> TypeError: Signal.__init__() got an unexpected keyword argument 'cancel'
current_impl	p6-fill-seen-by-strategy	P0-6	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_at_call3"": 1.0}"	戦略が受け取るのは candles だけで、自分の注文・約定を読む口が無い。試したこと: 1 回目に BUY を返し、3 回目に受け取った引数を調べた(candles の DataFrame だけ。注文・建玉に当たる属性 [['_AXIS_ORDERS', '_pad_or_backfill', 'bfill', 'ffill', 'fillna']])
current_impl	p7-fill-model-swap	P0-7	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fill_price"": 12345.0}"	ok	"{""fill_price"": 12345.0}"	"{""fill_price"": 12345.0}"	約定の模型を渡す口は無いが、公開の CostModel の buy_price を上書きした子を costs= に渡すと約定の価格が決まる(engine.py: price = costs.buy_price(ref))。trade_log の OPEN の価格を読んだ: [{'bar': 1, 'side': 'OPEN_LONG', 'price': 12345.0, 'size': 0.008100445524503848}]
current_impl	p7-latency-model-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fill_time_ns"": 1700006400007000000}"	遅延の模型を渡す口が無い(約定は常に次の足の始値)。試したこと: run_backtest(..., latency_model=...) -> TypeError: run_backtest() got an unexpected keyword argument 'latency_model' / run_backtest(..., order_delay_ns=...) -> TypeError: run_backtest() got an unexpected keyword argument 'order_delay_ns'
current_impl	p7-cost-model-swap	P0-7	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fee"": 0.5}"	ok	"{""fee"": 0.5}"	"{""fee"": 0.5}"	CostModel の fee を上書きした子を costs= に渡し、約定 1 件(建玉を開いたまま終わる)の metrics.total_fees_jpy を読んだ。trade_log=[{'bar': 1, 'side': 'OPEN_LONG', 'price': np.float64(100.0), 'size': np.float64(1.0)}]
current_impl	p7-cost-per-unit	P0-7	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fee"": 0.75}"	費用の口(CostModel.fee)が受け取るのは約定代金だけで、数量を受け取らない。数量 1 単位あたりの模型を書けない。試したこと: fee に渡るものを記録する CostModel の子を costs= に渡し、約定代金 200 円(数量 2)で走らせた -> fee の呼び出しの引数 [((np.float64(200.0),), {})]。trade_log=[{'bar': 1, 'side': 'OPEN_LONG', 'price': np.float64(100.0), 'size': np.float64(2.0)}]
current_impl	p7-account-swap	P0-7	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""account_recorded_fill_qty"": [1.0]}"	口座を渡す口が無い(現金・建玉は run_backtest の中の局所変数)。試したこと: run_backtest(..., account=...) -> TypeError: run_backtest() got an unexpected keyword argument 'account' / run_backtest(..., portfolio=...) -> TypeError: run_backtest() got an unexpected keyword argument 'portfolio'
