scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-split-utc	C3-1	値	正解と一致		68f8816b9ac62f65	正解と一致		68f8816b9ac62f65	2 回の実行で同じ	0.282	0.305
v1-split-jst	C3-1	値	正解と一致		40edae70989134c8	正解と一致		40edae70989134c8	2 回の実行で同じ	0.001	0.002
v1-wf-rolling	C3-1	値	正解と一致		f3c64505a4635c26	正解と一致		f3c64505a4635c26	2 回の実行で同じ	0.005	0.005
v1-wf-equal	C3-1	値	正解と一致		1d2a858ebc2a3e8e	正解と一致		1d2a858ebc2a3e8e	2 回の実行で同じ	0.005	0.005
a1-wf-fit-eval	C3-1	能力	正解と一致		27f40bf731dab555	正解と一致		27f40bf731dab555	2 回の実行で同じ	0.005	0.005
v2-purge-embargo	C3-2	値	不一致	学習の行 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]、正解 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 22, 23, 24, 25, 26, 27, 28, 29]	1ad10c582db31f32	不一致	学習の行 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]、正解 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 22, 23, 24, 25, 26, 27, 28, 29]	1ad10c582db31f32	2 回の実行で同じ	0.001	0.001
v2-cpcv-split	C3-2	値	不一致	評価の群 [1, 3] の学習の行 [0, 1, 2, 3, 4, 11, 12, 13, 14, 21, 22, 23, 24, 25, 26, 27, 28, 29]、正解 [0, 1, 2, 23, 24, 25, 26, 27, 28, 29]	8ddade6951240ea0	不一致	評価の群 [1, 3] の学習の行 [0, 1, 2, 3, 4, 11, 12, 13, 14, 21, 22, 23, 24, 25, 26, 27, 28, 29]、正解 [0, 1, 2, 23, 24, 25, 26, 27, 28, 29]	8ddade6951240ea0	2 回の実行で同じ	0.001	0.001
a2-cpcv-paths	C3-2	能力	正解と一致		3d4b065fad27786c	正解と一致		3d4b065fad27786c	2 回の実行で同じ	0.001	0.001
v3-block-bootstrap	C3-3	値	正解と一致		c123eff4c5b1f78e	正解と一致		c123eff4c5b1f78e	2 回の実行で同じ	0.047	0.047
v4-mde-two-sided	C3-4	値	正解と一致		ca39ac9e85a665e4	正解と一致		ca39ac9e85a665e4	2 回の実行で同じ	0.001	0.001
v4-mde-one-sided	C3-4	値	正解と一致		7cce40b6a6c2d5dd	正解と一致		7cce40b6a6c2d5dd	2 回の実行で同じ	0.001	0.001
v4-verdict	C3-4	値	正解と一致		42dfce7a27f75621	正解と一致		42dfce7a27f75621	2 回の実行で同じ	0.001	0.001
a4-no-mde-no-negative	C3-4	能力	正解と一致	変形は正解の値を返した	8440aff4f40c7311	正解と一致	変形は正解の値を返した	8440aff4f40c7311	2 回の実行で同じ	0.001	0.001
v5-dsr	C3-5	値	正解と一致		aeb817931feed568	正解と一致		aeb817931feed568	2 回の実行で同じ	0.001	0.001
