scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	正解と一致		b9014fa448da7885	正解と一致		b9014fa448da7885	2 回の実行で同じ	3.909	3.806
c2-1-limit	C2-1	値	正解と一致		97c85aa17fa2f9b6	正解と一致		97c85aa17fa2f9b6	2 回の実行で同じ	0.001	0.001
c2-1-postonly	C2-1	値	正解と一致		a43708d42c305c31	正解と一致		a43708d42c305c31	2 回の実行で同じ	0.001	0.001
c2-1-ioc	C2-1	値	正解と一致		f41dc8ae3638b81e	正解と一致		f41dc8ae3638b81e	2 回の実行で同じ	0.0	0.0
c2-1-fok	C2-1	値	正解と一致		e7341c8ec27150e8	正解と一致		e7341c8ec27150e8	2 回の実行で同じ	0.001	0.001
c2-1-stop	C2-1	値	結果なし	adapter: hftbacktest 2.4.4: 公開の口に stop が無い	-	結果なし	adapter: hftbacktest 2.4.4: 公開の口に stop が無い	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: hftbacktest 2.4.4: 公開の口に reduce_only が無い	-	結果なし	adapter: hftbacktest 2.4.4: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: hftbacktest 2.4.4: 公開の口に oco が無い	-	結果なし	adapter: hftbacktest 2.4.4: 公開の口に oco が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	正解と一致		5b3702224cbcc6b8	正解と一致		5b3702224cbcc6b8	2 回の実行で同じ	0.093	0.091
c2-2-amend-price	C2-2	値	正解と一致		f3e52705c8ab76a6	正解と一致		f3e52705c8ab76a6	2 回の実行で同じ	0.105	0.099
c2-2-amend-qty	C2-2	能力	結果なし	adapter: hftbacktest 2.4.4: 先行の取消の扱い none の列の模型が無い(risk_adverse = 写真で上限、prob = 確率型)	-	結果なし	adapter: hftbacktest 2.4.4: 先行の取消の扱い none の列の模型が無い(risk_adverse = 写真で上限、prob = 確率型)	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	結果なし	adapter: hftbacktest 2.4.4: 段 4 の約定の模型が無い(列の模型 = 段 5 だけ)	-	結果なし	adapter: hftbacktest 2.4.4: 段 4 の約定の模型が無い(列の模型 = 段 5 だけ)	-	結果なし	0.0	0.0
c2-3-tick	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0	6e9bab87a184fbd1	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0	6e9bab87a184fbd1	2 回の実行で同じ	0.001	0.001
c2-3-minqty	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	ffb41898bd1f28b2	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	ffb41898bd1f28b2	2 回の実行で同じ	0.001	0.001
c2-3-round	C2-3	能力	不一致	avg_px.o1: 期待 9990.0 / 出力 9991.0; avg_px.o2: 期待 10011.0 / 出力 10010.0	116ef2b2c8d05ef7	不一致	avg_px.o1: 期待 9990.0 / 出力 9991.0; avg_px.o2: 期待 10011.0 / 出力 10010.0	116ef2b2c8d05ef7	2 回の実行で同じ	0.103	0.101
c2-3-stp	C2-3	値	不一致	status.o2: 期待 canceled / 出力 filled; filled.o2: 期待 0.0 / 出力 1.0	adcbfa8ed9a282d1	不一致	status.o2: 期待 canceled / 出力 filled; filled.o2: 期待 0.0 / 出力 1.0	adcbfa8ed9a282d1	2 回の実行で同じ	0.001	0.001
c2-3-jpx-session	C2-3	値	不一致	avg_px.o1: 期待 1510.0 / 出力 1501.0; first_fill_t.o1: 期待 ge 1767670200000000000 / 出力 1767667500000000000	df5259bae2a760d2	不一致	avg_px.o1: 期待 1510.0 / 出力 1501.0; first_fill_t.o1: 期待 ge 1767670200000000000 / 出力 1767667500000000000	df5259bae2a760d2	2 回の実行で同じ	0.001	0.001
c2-3-jpx-limit	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	fac8265fe19709e4	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	fac8265fe19709e4	2 回の実行で同じ	0.001	0.001
