target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
repro_lean52	p1-merge-by-time	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 ['trade', 'bar', 'funding'] → この場面の型 {'A': 'trade', 'B': 'bar', 'C': 'funding'}。OnData の呼び出し 5 回。各回の Slice.AllData の中身を順に記録	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.Tick"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.MarginInterestRate"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.Tick"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}]}"
repro_lean52	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	OnData の呼び出し 5 回。各回の Slice.AllData の中身を順に記録	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}]}"
repro_lean52	p1-typed-events	P0-1	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""trade"", 1700092800000000000], [""bar"", 1700179200000000000]]}"	ok	"{""sequence"": [[""trade"", 1700092800000000000], [""bar"", 1700179200000000000]]}"	"{""sequence"": [[""trade"", 1700092800000000000], [""bar"", 1700179200000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 ['trade', 'bar', 'funding'] → この場面の型 ['trade', 'bar']。OnData の呼び出し 2 回。各回の Slice.AllData の中身を順に記録	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.Tick"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.TradeBar"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}]}"
repro_lean52	p2-iso-utc	P0-2	value	結果なし	結果なし	結果なし	error	null	error	null	1704067200123456789	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(ISO 8601 の文字列の読み)は LEAN にあるが書き直していないので結果が無い	null
repro_lean52	p2-iso-offset	P0-2	value	結果なし	結果なし	結果なし	error	null	error	null	1704067200123456789	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(ISO 8601 の文字列の読み)は LEAN にあるが書き直していないので結果が無い	null
repro_lean52	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456700]}"	ok	"{""observed_ts_ns"": [1700006400123456700]}"	"{""observed_ts_ns"": [1700006400123456789]}"	約定のティックで渡した。OnData 1 回で受けた Tick の時刻(DateTime は 100 ns 刻み)を ns に直した	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.Tick"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}]}"
repro_lean52	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	約定のティックで渡した。OnData 1 回で受けた Tick の時刻(DateTime は 100 ns 刻み)を ns に直した	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.Tick"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.Tick"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}]}"
repro_lean52	p3-trade	P0-3	capability	不一致	不一致	2 回の実行で同じ	ok	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01}, ""sequence"": [[""trade"", 1700092800000000000]]}"	ok	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01}, ""sequence"": [[""trade"", 1700092800000000000]]}"	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	OnData 1 回。受けた物の欄を読んだ	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""], ""returned_by"": null, ""type"": ""opponents.repro_engines.lean52.Tick"", ""type_file"": ""/home/user/trade/tests/bt/battery/item_0/opponents/repro_engines/lean52.py""}]}"
repro_lean52	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	LEAN の Slice が戦略に渡す型の集まりは Bars, QuoteBars, Ticks, OptionChains, FuturesChains, Splits, Dividends, Delistings, SymbolChangedEvents, MarginInterestRates(Common/Data/Slice.cs 86-166、版 856327ff)で、book_snapshot を運ぶ型が無い(板は Tick の気配(最良の売り買い 1 段、Tick.cs 140-146)と QuoteBar だけ)。再現の Slice の欄: ['AllData', 'Bars', 'HasData', 'MarginInterestRates', 'Ticks', 'Time', 'UtcTime']	null
repro_lean52	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	LEAN の Slice が戦略に渡す型の集まりは Bars, QuoteBars, Ticks, OptionChains, FuturesChains, Splits, Dividends, Delistings, SymbolChangedEvents, MarginInterestRates(Common/Data/Slice.cs 86-166、版 856327ff)で、book_delta を運ぶ型が無い(板は Tick の気配(最良の売り買い 1 段、Tick.cs 140-146)と QuoteBar だけ)。再現の Slice の欄: ['AllData', 'Bars', 'HasData', 'MarginInterestRates', 'Ticks', 'Time', 'UtcTime']	null
