scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-1-limit	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-1-postonly	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
c2-2-amend-price	C2-2	値	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	adapter: thirupathikannan-ai/Optimal-Execution-And-Market-Impact-Simulator(794fa64): 注文・板・約定・取消・遅延・費用・口座の口が無く、影響の関数を選ばない場面を渡せない。執行の口は予定の数量の列を値の列に当てる execute_order と、値に比例する影響の関数だけ。試したこと(道具の公開の口を実際に読んだ): src.execution.execute_order(prices: numpy.ndarray, schedule: numpy.ndarray, market_parameters, side: str = 'sell') -> dict / src.impact.temporary_market_impact(price: float, quantity: float, volume: float, coefficient: float, exponent: float = 1.0) -> float / src.impact.permanent_market_impact(price: float, cumulative_quantity: float, coefficient: float) -> float	-	結果なし	0.0	0.0
