scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	正解と一致		d6da57646ff3dfa5	正解と一致		d6da57646ff3dfa5	2 回の実行で同じ	0.006	0.004
c2-1-limit	C2-1	値	正解と一致		f185b4d6980f2d26	正解と一致		f185b4d6980f2d26	2 回の実行で同じ	0.005	0.003
c2-1-postonly	C2-1	値	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に post_only が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に IOC が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に FOK が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	正解と一致		4955d76c76ad45f1	正解と一致		4955d76c76ad45f1	2 回の実行で同じ	0.004	0.003
c2-1-reduceonly	C2-1	値	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に reduce_only が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	不一致	avg_px.o1: 期待 10020.0 / 出力 10025.0	a5adce3ce21f5431	不一致	avg_px.o1: 期待 10020.0 / 出力 10025.0	a5adce3ce21f5431	2 回の実行で同じ	0.005	0.003
c2-2-cancel	C2-2	値	不一致	status.o1: 期待 canceled / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0	d4c0776f3ed562bd	不一致	status.o1: 期待 canceled / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0	d4c0776f3ed562bd	2 回の実行で同じ	0.004	0.002
c2-2-amend-price	C2-2	値	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に amend が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に amend が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	正解と一致		1295259a00da4d34	正解と一致		1295259a00da4d34	2 回の実行で同じ	0.003	0.002
c2-3-tick	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0; avg_px.o2: 期待 9990.0 / 出力 9985.0	88ec621eb5aa65f3	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0; avg_px.o2: 期待 9990.0 / 出力 9985.0	88ec621eb5aa65f3	2 回の実行で同じ	0.004	0.002
c2-3-minqty	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	ff00debd9fdcd020	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 0.005	ff00debd9fdcd020	2 回の実行で同じ	0.003	0.002
c2-3-round	C2-3	能力	不一致	avg_px.o1: 期待 9990.0 / 出力 9985.0; avg_px.o2: 期待 10011.0 / 出力 10015.0	64cf79d43a726f20	不一致	avg_px.o1: 期待 9990.0 / 出力 9985.0; avg_px.o2: 期待 10011.0 / 出力 10015.0	64cf79d43a726f20	2 回の実行で同じ	0.003	0.002
c2-3-stp	C2-3	値	結果なし	adapter: Backtrader 1.9.78.123: 足にする約定も足も無い(Backtrader は足の feed だけを取る)	-	結果なし	adapter: Backtrader 1.9.78.123: 足にする約定も足も無い(Backtrader は足の feed だけを取る)	-	結果なし	0.0	0.0
c2-3-jpx-session	C2-3	値	正解と一致		475fbc9678e23cbf	正解と一致		475fbc9678e23cbf	2 回の実行で同じ	0.003	0.003
c2-3-jpx-limit	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	57e5ca530a5e7ef6	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	57e5ca530a5e7ef6	2 回の実行で同じ	0.002	0.002
c2-3-fx-weekend	C2-3	値	正解と一致		245d1c7b18b17f39	正解と一致		245d1c7b18b17f39	2 回の実行で同じ	0.036	0.032
c2-4-reject	C2-4	値	結果なし	adapter: Backtrader 1.9.78.123: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-timeout	C2-4	値	結果なし	adapter: Backtrader 1.9.78.123: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: Backtrader 1.9.78.123: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
