scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-1-limit	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-1-postonly	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
c2-2-amend-price	C2-2	値	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	adapter: flashalpha-fill-simulator(f51de9f) fillsim: 単一の銘柄の注文・板・約定の列を渡す口が無い(埋まりを判定する対象は 2 本の脚のスプレッドとオプションの気配の表だけ)。口は 2 本の脚のオプションの垂直スプレッド(Spread = short / long の Leg と limit_credit)の指値の足ごとの約定判定だけ。試したこと(道具の公開の口を実際に読んだ): fillsim.entry.simulate_fill(bar_ts: 'datetime', chain: 'ChainSnapshot', candidates: 'Sequence[Spread]', config: 'Config | None' = None) -> 'BarResult' / fillsim.core.Spread(short: 'Leg', long: 'Leg', limit_credit: 'float', width: 'float', expiry: 'date | None' = None) -> None / fillsim.core.Leg(strike: 'float', bid: 'float', ask: 'float', delta: 'float | None' = None, iv: 'float | None' =	-	結果なし	0.0	0.0
