scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.002
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): slippage_pct: 滑り・スプレッドの口が無い(損益は終値の比と trade_cost だけ: strategy_v2/backtesting(9af100d6) position_executor_simulator.py 41-47 行) / spread_pct: 滑り・スプレッドの口が無い(position_executor_simulator.py 41-47 行) / 再現していない: 行ごとの net_pnl_quote(45 行)から資産の系列を作る結果の処理は読んでいない	-	結果なし	場合 0: adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): slippage_pct: 滑り・スプレッドの口が無い(損益は終値の比と trade_cost だけ: strategy_v2/backtesting(9af100d6) position_executor_simulator.py 41-47 行) / spread_pct: 滑り・スプレッドの口が無い(position_executor_simulator.py 41-47 行) / 再現していない: 行ごとの net_pnl_quote(45 行)から資産の系列を作る結果の処理は読んでいない	-	結果なし	0.0	0.0
i4-3-e2e-taker	I4-3	値	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): swap_daily_pct: 持ち越しの口が無い(position_executor_simulator.py 41-47 行) / slippage_pct: 滑り・スプレッドの口が無い(損益は終値の比と trade_cost だけ: strategy_v2/backtesting(9af100d6) position_executor_simulator.py 41-47 行) / spread_pct: 滑り・スプレッドの口が無い(position_executor_simulator.py 41-47 行) / 再現していない: 行ごとの net_pnl_quote(45 行)から資産の系列を作る結果の処理は読んでいない / 再現していない: summarize_results(602 行〜)は読み始めたが、12 の指標と同じ形の出力は無い(総損益・手数料の集計)	-	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): swap_daily_pct: 持ち越しの口が無い(position_executor_simulator.py 41-47 行) / slippage_pct: 滑り・スプレッドの口が無い(損益は終値の比と trade_cost だけ: strategy_v2/backtesting(9af100d6) position_executor_simulator.py 41-47 行) / spread_pct: 滑り・スプレッドの口が無い(position_executor_simulator.py 41-47 行) / 再現していない: 行ごとの net_pnl_quote(45 行)から資産の系列を作る結果の処理は読んでいない / 再現していない: summarize_results(602 行〜)は読み始めたが、12 の指標と同じ形の出力は無い(総損益・手数料の集計)	-	結果なし	0.0	0.0
i4-3-e2e-maker	I4-3	値	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): maker_tp_pct: 決済を指値で置く口が無い(45-47 行) / exit_execution: 決済を指値で置く口が無い(決済は障壁に当たった行の終値: 45-47・78-80 行) / slippage_pct: 滑り・スプレッドの口が無い(損益は終値の比と trade_cost だけ: strategy_v2/backtesting(9af100d6) position_executor_simulator.py 41-47 行) / spread_pct: 滑り・スプレッドの口が無い(position_executor_simulator.py 41-47 行) / trade_cost は 1 つだけで、maker と taker に別の率を置く口が無い(run_backtesting 225 行) / 再現していない: 行ごとの net_pnl_quote(45 行)から資産の系列を作る結果の処理は読んでいない / 再現していない: summarize_results(602 行〜)は読み始めたが、12 の指標と同じ形の出力は無い(総損益・手数料の集計)	-	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): maker_tp_pct: 決済を指値で置く口が無い(45-47 行) / exit_execution: 決済を指値で置く口が無い(決済は障壁に当たった行の終値: 45-47・78-80 行) / slippage_pct: 滑り・スプレッドの口が無い(損益は終値の比と trade_cost だけ: strategy_v2/backtesting(9af100d6) position_executor_simulator.py 41-47 行) / spread_pct: 滑り・スプレッドの口が無い(position_executor_simulator.py 41-47 行) / trade_cost は 1 つだけで、maker と taker に別の率を置く口が無い(run_backtesting 225 行) / 再現していない: 行ごとの net_pnl_quote(45 行)から資産の系列を作る結果の処理は読んでいない / 再現していない: summarize_results(602 行〜)は読み始めたが、12 の指標と同じ形の出力は無い(総損益・手数料の集計)	-	結果なし	0.0	0.0
i4-4-plain	I4-4	値	不一致	fills[0].bar = 1(正解 2)	251d8101410d	不一致	fills[0].bar = 1(正解 2)	251d8101410d	2 回の実行で同じ	0.0	0.0
i4-4-fee	I4-4	値	不一致	fills[0].bar = 1(正解 2)	4c682f823f5b	不一致	fills[0].bar = 1(正解 2)	4c682f823f5b	2 回の実行で同じ	0.0	0.0
i4-5-fills	I4-5	値	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 再現は位置の executor の模擬だけ	-	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 再現は位置の executor の模擬だけ	-	結果なし	0.002	0.002
i4-5-outputs	I4-5	能力	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 再現は位置の executor の模擬だけ	-	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 再現は位置の executor の模擬だけ	-	結果なし	0.001	0.001
i4-6-label	I4-6	値	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 再現は位置の executor の模擬だけ	-	結果なし	adapter: Hummingbot strategy_v2 backtesting(9af100d6)(再現): 再現は位置の executor の模擬だけ	-	結果なし	0.002	0.001
