scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-bitflyer-rest	V1	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v1-bitflyer-us-gz	V1	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v1-binance-aggtrades	V1	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v1-fx-ticks	V1	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v1-jpx-1m	V1	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v1-bitflyer-board-top10	V1	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v1-funding-and-liquidations	V1	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v1-all-assets-one-call	V1	能力	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.002	0.001
v1-generic-shape	V1	能力	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v2-same-instant-4-units	V2	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v2-iso-offsets	V2	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v2-naive-local-tz	V2	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v3-clean-control	V3	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v3-duplicate-and-conflict	V3	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v3-backward	V3	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v3-gap-bars	V3	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v3-generations	V3	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v4-sha256-values	V4	値	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v4-sha256-distinguishes	V4	能力	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.001	0.0
v5-reject-qa	V5	能力	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
v5-reject-o3c	V5	能力	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	adapter: backtesting.py に市場データのファイルを読む口が無い(Backtest はメモリ上の OHLC の DataFrame を取る。read_csv の当たりは同梱の例のデータを読む test/__init__.py だけ)	-	結果なし	0.0	0.0
