scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-split-utc	C3-1	値	結果なし	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い(backtesting の --timerange は 1 区間を選ぶだけ。当たりは tensorboard の記録)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(freqai/tensorboard/TensorboardCallback.py)	-	結果なし	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い(backtesting の --timerange は 1 区間を選ぶだけ。当たりは tensorboard の記録)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(freqai/tensorboard/TensorboardCallback.py)	-	結果なし	0.001	0.001
v1-split-jst	C3-1	値	結果なし	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い(backtesting の --timerange は 1 区間を選ぶだけ。当たりは tensorboard の記録)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(freqai/tensorboard/TensorboardCallback.py)	-	結果なし	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い(backtesting の --timerange は 1 区間を選ぶだけ。当たりは tensorboard の記録)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(freqai/tensorboard/TensorboardCallback.py)	-	結果なし	0.001	0.001
v1-wf-rolling	C3-1	値	結果なし	adapter: walk_forward: walk-forward の口が無い(当たりは強化学習の模型と銘柄の選別の窓)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 2 ファイル(freqai/RL/BaseReinforcementLearningModel.py plugins/pairlist/VolatilityFilter.py)	-	結果なし	adapter: walk_forward: walk-forward の口が無い(当たりは強化学習の模型と銘柄の選別の窓)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 2 ファイル(freqai/RL/BaseReinforcementLearningModel.py plugins/pairlist/VolatilityFilter.py)	-	結果なし	0.001	0.001
v1-wf-equal	C3-1	値	結果なし	adapter: walk_forward: walk-forward の口が無い(当たりは強化学習の模型と銘柄の選別の窓)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 2 ファイル(freqai/RL/BaseReinforcementLearningModel.py plugins/pairlist/VolatilityFilter.py)	-	結果なし	adapter: walk_forward: walk-forward の口が無い(当たりは強化学習の模型と銘柄の選別の窓)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 2 ファイル(freqai/RL/BaseReinforcementLearningModel.py plugins/pairlist/VolatilityFilter.py)	-	結果なし	0.001	0.001
a1-wf-fit-eval	C3-1	能力	結果なし	adapter: walk_forward_eval: walk-forward の口が無い(当たりは強化学習の模型と銘柄の選別の窓)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 2 ファイル(freqai/RL/BaseReinforcementLearningModel.py plugins/pairlist/VolatilityFilter.py)	-	結果なし	adapter: walk_forward_eval: walk-forward の口が無い(当たりは強化学習の模型と銘柄の選別の窓)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 2 ファイル(freqai/RL/BaseReinforcementLearningModel.py plugins/pairlist/VolatilityFilter.py)	-	結果なし	0.001	0.001
v2-purge-embargo	C3-2	値	結果なし	adapter: purged_split: 当たり 11 ファイルは freqai の学習データの「purge_old_models」などの掃除で、ラベルの重なりで学習の行を除く口ではない。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'purg(e|ing)|embargo' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 11 ファイル(config_schema/config_schema.py templates/FreqaiExampleHybridStrategy.py exchange/exchange.py freqai/freqai_interface.py)	-	結果なし	adapter: purged_split: 当たり 11 ファイルは freqai の学習データの「purge_old_models」などの掃除で、ラベルの重なりで学習の行を除く口ではない。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'purg(e|ing)|embargo' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 11 ファイル(config_schema/config_schema.py templates/FreqaiExampleHybridStrategy.py exchange/exchange.py freqai/freqai_interface.py)	-	結果なし	0.001	0.001
v2-cpcv-split	C3-2	値	結果なし	adapter: cpcv: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: cpcv: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
a2-cpcv-paths	C3-2	能力	結果なし	adapter: cpcv_paths: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: cpcv_paths: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
v3-block-bootstrap	C3-3	値	結果なし	adapter: block_bootstrap: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'bootstrap' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(rpc/telegram.py)	-	結果なし	adapter: block_bootstrap: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'bootstrap' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(rpc/telegram.py)	-	結果なし	0.001	0.001
v4-mde-two-sided	C3-4	値	結果なし	adapter: mde: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: mde: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
v4-mde-one-sided	C3-4	値	結果なし	adapter: mde: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: mde: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
v4-verdict	C3-4	値	結果なし	adapter: verdict: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: verdict: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
a4-no-mde-no-negative	C3-4	能力	結果なし	adapter: verdict: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: verdict: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
v5-dsr	C3-5	値	結果なし	adapter: dsr: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'deflated' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(optimize/optimize_reports/bt_storage.py)	-	結果なし	adapter: dsr: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'deflated' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(optimize/optimize_reports/bt_storage.py)	-	結果なし	0.001	0.001
v5-dsr-returns	C3-5	値	結果なし	adapter: dsr_returns: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'deflated' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(optimize/optimize_reports/bt_storage.py)	-	結果なし	adapter: dsr_returns: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'deflated' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファイル(optimize/optimize_reports/bt_storage.py)	-	結果なし	0.001	0.001
v5-pbo	C3-5	値	結果なし	adapter: pbo: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE '\bpbo\b|backtest.?overfitting' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: pbo: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE '\bpbo\b|backtest.?overfitting' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
v6-iter-count	C3-6	値	結果なし	adapter: iter_ledger: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'n_trials|num_trials|trial.?count' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	adapter: iter_ledger: 口が無い。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'n_trials|num_trials|trial.?count' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 0 ファイル	-	結果なし	0.001	0.001
