target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
opp_lib_pybroker	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	PyBroker の入力は銘柄・日時・OHLCV の行の DataFrame(または DataSource)で、約定・資金調達 の型は無い。試したこと: Strategy(<['symbol', 'date', 'price', 'qty', 'side'] の DataFrame>).backtest() -> ValueError: DataFrame is missing required columns: ['open', 'high', 'low', 'close']	null
opp_lib_pybroker	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	足 5 本。execution の各回に ctx.dt	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/strategy.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""pybroker.context.ExecContext"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/context.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/strategy.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""pybroker.context.ExecContext"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/context.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/strategy.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""pybroker.context.ExecContext"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/context.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/strategy.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""pybroker.context.ExecContext"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/context.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/strategy.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""pybroker.context.ExecContext"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/context.py""}]}"
opp_lib_pybroker	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	PyBroker の入力は銘柄・日時・OHLCV の行の DataFrame(または DataSource)で、約定 の型は無い。試したこと: Strategy(<['symbol', 'date', 'price', 'qty', 'side'] の DataFrame>).backtest() -> ValueError: DataFrame is missing required columns: ['open', 'high', 'low', 'close']	null
opp_lib_pybroker	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	date の列が ISO の文字列の DataFrame を Strategy に渡した -> AttributeError: Can only use .dt accessor with datetimelike values	null
opp_lib_pybroker	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	date の列が ISO の文字列の DataFrame を Strategy に渡した -> AttributeError: Can only use .dt accessor with datetimelike values	null
opp_lib_pybroker	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	足(OHLC=100)で渡して走らせた -> ValueError: DataSource is empty.	null
opp_lib_pybroker	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000]}"	ok	"{""observed_ts_ns"": [1700006400000000000]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足で渡し、ctx.dt を ns にした	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/strategy.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""pybroker.context.ExecContext"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/lib-pybroker/lib/python3.11/site-packages/pybroker/context.py""}]}"
opp_lib_pybroker	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	PyBroker の入力は銘柄・日時・OHLCV の行の DataFrame(または DataSource)で、trade の型は無い。試したこと: Strategy(<['symbol', 'date', 'price', 'qty', 'side'] の DataFrame>).backtest() -> ValueError: DataFrame is missing required columns: ['open', 'high', 'low', 'close']	null
opp_lib_pybroker	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	PyBroker の入力は銘柄・日時・OHLCV の行の DataFrame(または DataSource)で、book_snapshot の型は無い。試したこと: Strategy(<['symbol', 'date'] の DataFrame>).backtest() -> ValueError: DataFrame is missing required columns: ['open', 'high', 'low', 'close']	null
opp_lib_pybroker	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	PyBroker の入力は銘柄・日時・OHLCV の行の DataFrame(または DataSource)で、book_delta の型は無い。試したこと: Strategy(<['symbol', 'date', 'side', 'price', 'qty'] の DataFrame>).backtest() -> ValueError: DataFrame is missing required columns: ['open', 'high', 'low', 'close']	null
