target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1
opp_nickgardi_orderbooksim	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	この道具は注文の照合の機関(MatchingEngine)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無い。試したこと: MatchingEngine().submit_order(売り 100@100) のあと submit_order(買い 1@100) -> [(100.0, 1.0)]; MatchingEngine の公開の名前 ['all_trades', 'cancel_order', 'get_best_bid_ask', 'get_book_snapshot', 'get_order', 'get_spread', 'next_order_id', 'orders_per_second', 'reset', 'submit_order', 'throughput_stats', 'trades_per_second']
opp_nickgardi_orderbooksim	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	この道具は注文の照合の機関(MatchingEngine)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無い。試したこと: MatchingEngine().submit_order(売り 100@100) のあと submit_order(買い 1@100) -> [(100.0, 1.0)]; MatchingEngine の公開の名前 ['all_trades', 'cancel_order', 'get_best_bid_ask', 'get_book_snapshot', 'get_order', 'get_spread', 'next_order_id', 'orders_per_second', 'reset', 'submit_order', 'throughput_stats', 'trades_per_second']
opp_nickgardi_orderbooksim	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	この道具は注文の照合の機関(MatchingEngine)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無い。試したこと: MatchingEngine().submit_order(売り 100@100) のあと submit_order(買い 1@100) -> [(100.0, 1.0)]; MatchingEngine の公開の名前 ['all_trades', 'cancel_order', 'get_best_bid_ask', 'get_book_snapshot', 'get_order', 'get_spread', 'next_order_id', 'orders_per_second', 'reset', 'submit_order', 'throughput_stats', 'trades_per_second']
opp_nickgardi_orderbooksim	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	日時の文字列を時刻に直す変換が無い(Order.timestamp は float 秒で、渡した値を検めずに持つ)。試したこと: Order.create(..., timestamp='2024-01-01T00:00:00.123456789Z') -> get_order(id).timestamp = '2024-01-01T00:00:00.123456789Z'
opp_nickgardi_orderbooksim	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	日時の文字列を時刻に直す変換が無い(Order.timestamp は float 秒で、渡した値を検めずに持つ)。試したこと: Order.create(..., timestamp='2024-01-01T09:00:00.123456789+09:00') -> get_order(id).timestamp = '2024-01-01T09:00:00.123456789+09:00'
opp_nickgardi_orderbooksim	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456717]}"	ok	"{""observed_ts_ns"": [1700006400123456717]}"	"{""observed_ts_ns"": [1700006400123456789]}"	この道具の時刻は Order.timestamp の float 秒。事象ごとに買い 1@1.0 の注文を timestamp=ns/1e9 で出し、get_order(id).timestamp を ns に戻した(戦略に渡す口は無いので、道具が持つ値を読んだ)
opp_nickgardi_orderbooksim	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	この道具の時刻は Order.timestamp の float 秒。事象ごとに買い 1@1.0 の注文を timestamp=ns/1e9 で出し、get_order(id).timestamp を ns に戻した(戦略に渡す口は無いので、道具が持つ値を読んだ)
opp_nickgardi_orderbooksim	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	この道具は注文の照合の機関(MatchingEngine)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無い。試したこと: MatchingEngine().submit_order(売り 100@100) のあと submit_order(買い 1@100) -> [(100.0, 1.0)]; MatchingEngine の公開の名前 ['all_trades', 'cancel_order', 'get_best_bid_ask', 'get_book_snapshot', 'get_order', 'get_spread', 'next_order_id', 'orders_per_second', 'reset', 'submit_order', 'throughput_stats', 'trades_per_second']
opp_nickgardi_orderbooksim	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	この道具は注文の照合の機関(MatchingEngine)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無い。試したこと: MatchingEngine().submit_order(売り 100@100) のあと submit_order(買い 1@100) -> [(100.0, 1.0)]; MatchingEngine の公開の名前 ['all_trades', 'cancel_order', 'get_best_bid_ask', 'get_book_snapshot', 'get_order', 'get_spread', 'next_order_id', 'orders_per_second', 'reset', 'submit_order', 'throughput_stats', 'trades_per_second']
opp_nickgardi_orderbooksim	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	この道具は注文の照合の機関(MatchingEngine)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無い。試したこと: MatchingEngine().submit_order(売り 100@100) のあと submit_order(買い 1@100) -> [(100.0, 1.0)]; MatchingEngine の公開の名前 ['all_trades', 'cancel_order', 'get_best_bid_ask', 'get_book_snapshot', 'get_order', 'get_spread', 'next_order_id', 'orders_per_second', 'reset', 'submit_order', 'throughput_stats', 'trades_per_second']
