scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-bitflyer-rest	V1	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.001	0.001
v1-bitflyer-us-gz	V1	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.0	0.001
v1-binance-aggtrades	V1	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.0	0.001
v1-fx-ticks	V1	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.0	0.0
v1-jpx-1m	V1	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.0	0.0
v1-bitflyer-board-top10	V1	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.0	0.0
v1-funding-and-liquidations	V1	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.0	0.0
v1-all-assets-one-call	V1	能力	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.001	0.002
v1-generic-shape	V1	能力	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.001	0.001
v2-same-instant-4-units	V2	値	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	adapter: Qlib の配布物に CSV の市場データを読む口が無い(CSV から Qlib の形に直す scripts/dump_bin.py はリポジトリの側にあり配布物に入っていない。配布物の read_csv の当たりは銘柄の一覧・暦・注文の表・予測の表だけ)	-	結果なし	0.001	0.001
