target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
opp_rqalpha	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	rqalpha の日足・分足の回の入力は、データ源の銘柄ごとの足(datetime/open/high/low/close/volume の配列)で、約定・資金調達 を型として戦略に渡す口が無い(tick の回は tick だけを渡す別の頻度)。試したこと: データ源の配列に 約定・資金調達 の列だけを入れて run_func -> KeyError: 'price'	null
opp_rqalpha	p1-one-call-per-event	P0-1	value	不一致	不一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700031600000000000], [""bar"", 1700118000000000000], [""bar"", 1700204400000000000], [""bar"", 1700290800000000000], [""bar"", 1700377200000000000]]}"	ok	"{""sequence"": [[""bar"", 1700031600000000000], [""bar"", 1700118000000000000], [""bar"", 1700204400000000000], [""bar"", 1700290800000000000], [""bar"", 1700377200000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	日足 5 本。handle_bar の各回に context.now(北京時間)を UTC の ns にして記録	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/events.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/executor.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/strategy.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/main.py""], ""returned_by"": null, ""type"": ""rqalpha.model.bar.BarObject"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/model/bar.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/events.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/executor.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/strategy.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/main.py""], ""returned_by"": null, ""type"": ""rqalpha.model.bar.BarObject"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/model/bar.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/events.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/executor.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/strategy.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/main.py""], ""returned_by"": null, ""type"": ""rqalpha.model.bar.BarObject"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/model/bar.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/events.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/executor.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/strategy.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/main.py""], ""returned_by"": null, ""type"": ""rqalpha.model.bar.BarObject"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/model/bar.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/events.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/executor.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/strategy.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/main.py""], ""returned_by"": null, ""type"": ""rqalpha.model.bar.BarObject"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/model/bar.py""}]}"
opp_rqalpha	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	rqalpha の日足・分足の回の入力は、データ源の銘柄ごとの足(datetime/open/high/low/close/volume の配列)で、約定 を型として戦略に渡す口が無い(tick の回は tick だけを渡す別の頻度)。試したこと: データ源の配列に 約定 の列だけを入れて run_func -> KeyError: 'price'	null
opp_rqalpha	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	"rqalpha のデータの時刻は YYYYMMDDhhmmss の整数で、時刻の文字列を読む入口が無い。試したこと: rqalpha.utils.datetime_func の変換に ISO の文字列を渡した -> {'convert_int_to_datetime': ""ValueError: invalid literal for int() with base 10: '2024-01-01T00:00:00.123456789Z'"", 'convert_int_to_date': ""ValueError: invalid literal for int() with base 10: '2024-01-01T00:00:00.123456789Z'""}"	null
opp_rqalpha	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	"rqalpha のデータの時刻は YYYYMMDDhhmmss の整数で、時刻の文字列を読む入口が無い。試したこと: rqalpha.utils.datetime_func の変換に ISO の文字列を渡した -> {'convert_int_to_datetime': ""ValueError: invalid literal for int() with base 10: '2024-01-01T09:00:00.123456789+09:00'"", 'convert_int_to_date': ""ValueError: invalid literal for int() with base 10: '2024-01-01T09:00:00.123456789+09:00'""}"	null
opp_rqalpha	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1699945200000000000]}"	ok	"{""observed_ts_ns"": [1699945200000000000]}"	"{""observed_ts_ns"": [1700006400123456789]}"	足で渡した。データ源の datetime は YYYYMMDDhhmmss の整数(convert_date_to_int)で、日足は取引日に丸められる。handle_bar の context.now	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/events.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/executor.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/strategy.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/main.py""], ""returned_by"": null, ""type"": ""rqalpha.model.bar.BarObject"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/model/bar.py""}]}"
opp_rqalpha	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1699945200000000000]}"	ok	"{""observed_ts_ns"": [1699945200000000000]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足で渡した。データ源の datetime は YYYYMMDDhhmmss の整数(convert_date_to_int)で、日足は取引日に丸められる。handle_bar の context.now	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": null, ""reached_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/__init__.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/events.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/executor.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/core/strategy.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/main.py""], ""returned_by"": null, ""type"": ""rqalpha.model.bar.BarObject"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/rqalpha/lib/python3.11/site-packages/rqalpha/model/bar.py""}]}"
opp_rqalpha	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	rqalpha の日足・分足の回の入力は、データ源の銘柄ごとの足(datetime/open/high/low/close/volume の配列)で、trade を型として戦略に渡す口が無い(tick の回は tick だけを渡す別の頻度)。試したこと: データ源の配列に trade の列だけを入れて run_func -> KeyError: 'price'	null
opp_rqalpha	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	rqalpha の日足・分足の回の入力は、データ源の銘柄ごとの足(datetime/open/high/low/close/volume の配列)で、book_snapshot を型として戦略に渡す口が無い(tick の回は tick だけを渡す別の頻度)。試したこと: データ源の配列に book_snapshot の列だけを入れて run_func -> KeyError: 'price'	null
opp_rqalpha	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	rqalpha の日足・分足の回の入力は、データ源の銘柄ごとの足(datetime/open/high/low/close/volume の配列)で、book_delta を型として戦略に渡す口が無い(tick の回は tick だけを渡す別の頻度)。試したこと: データ源の配列に book_delta の列だけを入れて run_func -> KeyError: 'price'	null
