scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-1-limit	C2-1	値	正解と一致		c88d7b4ec229610f	正解と一致		c88d7b4ec229610f	2 回の実行で同じ	0.003	0.003
c2-1-postonly	C2-1	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に post_only が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に IOC が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に FOK が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	正解と一致		2c9d2122bb1ecd5d	正解と一致		2c9d2122bb1ecd5d	2 回の実行で同じ	0.002	0.001
c2-1-reduceonly	C2-1	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	正解と一致		b34d43b23d64e77f	正解と一致		b34d43b23d64e77f	2 回の実行で同じ	0.002	0.001
c2-2-amend-price	C2-2	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に amend が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に amend が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-3-tick	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0; avg_px.o2: 期待 9990.0 / 出力 9985.0	a7d427e34f23ebab	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 1.0; avg_px.o2: 期待 9990.0 / 出力 9985.0	a7d427e34f23ebab	2 回の実行で同じ	0.001	0.001
c2-3-minqty	C2-3	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-3-round	C2-3	能力	不一致	avg_px.o1: 期待 9990.0 / 出力 9985.0; avg_px.o2: 期待 10011.0 / 出力 10015.0	005c4e98dafd2450	不一致	avg_px.o1: 期待 9990.0 / 出力 9985.0; avg_px.o2: 期待 10011.0 / 出力 10015.0	005c4e98dafd2450	2 回の実行で同じ	0.001	0.001
c2-3-stp	C2-3	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-3-jpx-session	C2-3	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-3-jpx-limit	C2-3	値	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	8630d1e47303eee1	不一致	status.o1: 期待 rejected / 出力 filled; filled.o1: 期待 0.0 / 出力 100.0	8630d1e47303eee1	2 回の実行で同じ	0.002	0.001
c2-3-fx-weekend	C2-3	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-4-reject	C2-4	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-4-timeout	C2-4	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-4-unknown	C2-4	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に market が無い	-	結果なし	0.0	0.0
c2-4-kill	C2-4	値	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に kill が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 公開の口に kill が無い	-	結果なし	0.0	0.0
c2-5-tier0	C2-5	能力	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier1	C2-5	能力	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier2	C2-5	能力	正解と一致		4336f4d5b76978f1	正解と一致		4336f4d5b76978f1	2 回の実行で同じ	0.002	0.001
c2-5-tier3	C2-5	能力	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier4	C2-5	能力	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
c2-5-tier5	C2-5	能力	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	adapter: VnPy 4.4.0 / vnpy_ctastrategy 1.4.1(BAR の型): 約定の模型は足で埋まる型(段 2)だけで、ほかの段・列・市場影響の関数・楽観と悲観の両方を回す口が無い	-	結果なし	0.0	0.0
