target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1
opp_luczinsritter	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	この道具の入力は OHLCV の表 1 つ(get_data)で、複数の入力 を事象として渡す口が無い。試したこと: EventBased(<['price', 'qty', 'side', 'open', 'high', 'low', 'close', 'volume', 'rate'] の表>) -> KeyError: 'Close'
opp_luczinsritter	p1-one-call-per-event	P0-1	value	不一致	不一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000]]}"	ok	"{""sequence"": [[""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	足 5 本を get_data で渡し、for i in range(len(self.data) - 1)(道具の例 ema_arima.py の回し方) の各回に get_date_price(i) の時刻。__init__ のあとの行数 4(add_log_returns の dropna が 1 行目を落とす)
opp_luczinsritter	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	この道具の入力は OHLCV の表 1 つ(get_data)で、約定 を事象として渡す口が無い。試したこと: EventBased(<['open', 'high', 'low', 'close', 'volume', 'price', 'qty', 'side'] の表>) -> KeyError: 'Close'
opp_luczinsritter	p2-iso-utc	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	時刻は表の DatetimeIndex(pandas)。ISO を pd.Timestamp(iso).tz_convert('UTC') にし、その 1 日前の行を前に置いた 2 行の表を渡した(__init__ の dropna が 1 行目を落とすため)。get_date_price(0) の時刻の .value
opp_luczinsritter	p2-iso-offset	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	時刻は表の DatetimeIndex(pandas)。ISO を pd.Timestamp(iso).tz_convert('UTC') にし、その 1 日前の行を前に置いた 2 行の表を渡した(__init__ の dropna が 1 行目を落とすため)。get_date_price(0) の時刻の .value
opp_luczinsritter	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": []}"	ok	"{""observed_ts_ns"": []}"	"{""observed_ts_ns"": [1700006400123456789]}"	足で渡し、for i in range(len(self.data) - 1)(道具の例 ema_arima.py の回し方) の各回に get_date_price(i) の時刻。__init__ のあとの行数 0(dropna が 1 行目を落とす)。呼ばれた回数 0
opp_luczinsritter	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": []}"	ok	"{""observed_ts_ns"": []}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足で渡し、for i in range(len(self.data) - 1)(道具の例 ema_arima.py の回し方) の各回に get_date_price(i) の時刻。__init__ のあとの行数 1(dropna が 1 行目を落とす)。呼ばれた回数 0
opp_luczinsritter	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	この道具の入力は OHLCV の表 1 つ(get_data)で、trade を事象として渡す口が無い。試したこと: EventBased(<['price', 'qty', 'side'] の表>) -> KeyError: 'Close'
opp_luczinsritter	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	この道具の入力は OHLCV の表 1 つ(get_data)で、book_snapshot を事象として渡す口が無い。試したこと: EventBased(<['bids', 'asks'] の表>) -> KeyError: 'Close'
opp_luczinsritter	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	この道具の入力は OHLCV の表 1 つ(get_data)で、book_delta を事象として渡す口が無い。試したこと: EventBased(<['side', 'price', 'qty'] の表>) -> KeyError: 'Close'
