target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1
opp_mihircoding_lob	p1-merge-by-time	P0-1	value	不一致	不一致	2 回の実行で同じ	ok	"{""sequence"": [[""action"", 1700092800000000000], [""action"", 1700179200000000000], [""action"", 1700265600000000000], [""action"", 1700352000000000000], [""action"", 1700438400000000000]]}"	ok	"{""sequence"": [[""action"", 1700092800000000000], [""action"", 1700179200000000000], [""action"", 1700265600000000000], [""action"", 1700352000000000000], [""action"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	3 つの入力を渡す順に MessageBus.send で積み、drain()(bus は (到着, 積んだ順) で配る)。記録は (道具の型 = 動作(action)、時刻)
opp_mihircoding_lob	p1-one-call-per-event	P0-1	value	不一致	不一致	2 回の実行で同じ	ok	"{""sequence"": [[""action"", 1700092800000000000], [""action"", 1700179200000000000], [""action"", 1700265600000000000], [""action"", 1700352000000000000], [""action"", 1700438400000000000]]}"	ok	"{""sequence"": [[""action"", 1700092800000000000], [""action"", 1700179200000000000], [""action"", 1700265600000000000], [""action"", 1700352000000000000], [""action"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	各足を MessageBus.send(時刻 µs, 'feed', 戦略を呼ぶ動作) で積み、drain()。記録は (道具の型 = 動作(action)、bus.now_us を ns に)。MessageBus は型の無い動作を配るだけで、足という型を持たない
opp_mihircoding_lob	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	この道具は照合の機関(LimitOrderBook)と、到着の順に動作を配る MessageBus と、手数料の表(FeeSchedule)で、相場の事象の型(約定・足・板・資金調達・清算)も、注文の受付・拒否・約定・取消を戦略に知らせる事象も持たない。試したこと: LimitOrderBook().add_limit_order(SELL, 100.0, 100) -> id 0; market_order(BUY, 1) -> [Trade(price=100.0, quantity=1, maker_id=0, taker_id=1)]; LimitOrderBook の公開の名前 ['add_fok_order', 'add_ioc_order', 'add_limit_order', 'best_ask', 'best_bid', 'cancel', 'depth', 'market_order', 'mid_price', 'spread']
opp_mihircoding_lob	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	"この道具に日時の文字列を読む変換が無い(時刻は float のマイクロ秒、注文の timestamp は通し番号)。試したこと: MessageBus.send('2024-01-01T00:00:00.123456789Z', ...) -> TypeError: can only concatenate str (not ""float"") to str"
opp_mihircoding_lob	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	"この道具に日時の文字列を読む変換が無い(時刻は float のマイクロ秒、注文の timestamp は通し番号)。試したこと: MessageBus.send('2024-01-01T09:00:00.123456789+09:00', ...) -> TypeError: can only concatenate str (not ""float"") to str"
opp_mihircoding_lob	p2-event-time-exact	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456750]}"	ok	"{""observed_ts_ns"": [1700006400123456750]}"	"{""observed_ts_ns"": [1700006400123456789]}"	MessageBus の時刻は float のマイクロ秒(send の sent_at_us、bus.now_us)。ns を µs の float にして積み、配られた時の bus.now_us を ns に戻した
opp_mihircoding_lob	p2-one-ns-apart	P0-2	capability	不一致	不一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000000]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	MessageBus の時刻は float のマイクロ秒(send の sent_at_us、bus.now_us)。ns を µs の float にして積み、配られた時の bus.now_us を ns に戻した
opp_mihircoding_lob	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	この道具は照合の機関(LimitOrderBook)と、到着の順に動作を配る MessageBus と、手数料の表(FeeSchedule)で、相場の事象の型(約定・足・板・資金調達・清算)も、注文の受付・拒否・約定・取消を戦略に知らせる事象も持たない。試したこと: LimitOrderBook().add_limit_order(SELL, 100.0, 100) -> id 0; market_order(BUY, 1) -> [Trade(price=100.0, quantity=1, maker_id=0, taker_id=1)]; LimitOrderBook の公開の名前 ['add_fok_order', 'add_ioc_order', 'add_limit_order', 'best_ask', 'best_bid', 'cancel', 'depth', 'market_order', 'mid_price', 'spread']
opp_mihircoding_lob	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	この道具は照合の機関(LimitOrderBook)と、到着の順に動作を配る MessageBus と、手数料の表(FeeSchedule)で、相場の事象の型(約定・足・板・資金調達・清算)も、注文の受付・拒否・約定・取消を戦略に知らせる事象も持たない。試したこと: LimitOrderBook().add_limit_order(SELL, 100.0, 100) -> id 0; market_order(BUY, 1) -> [Trade(price=100.0, quantity=1, maker_id=0, taker_id=1)]; LimitOrderBook の公開の名前 ['add_fok_order', 'add_ioc_order', 'add_limit_order', 'best_ask', 'best_bid', 'cancel', 'depth', 'market_order', 'mid_price', 'spread']
opp_mihircoding_lob	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	この道具は照合の機関(LimitOrderBook)と、到着の順に動作を配る MessageBus と、手数料の表(FeeSchedule)で、相場の事象の型(約定・足・板・資金調達・清算)も、注文の受付・拒否・約定・取消を戦略に知らせる事象も持たない。試したこと: LimitOrderBook().add_limit_order(SELL, 100.0, 100) -> id 0; market_order(BUY, 1) -> [Trade(price=100.0, quantity=1, maker_id=0, taker_id=1)]; LimitOrderBook の公開の名前 ['add_fok_order', 'add_ioc_order', 'add_limit_order', 'best_ask', 'best_bid', 'cancel', 'depth', 'market_order', 'mid_price', 'spread']
