scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	0.0	0.0
c2-1-limit	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	0.0	0.0
c2-1-postonly	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に post_only が無い	-	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に post_only が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に IOC が無い	-	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に FOK が無い	-	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に reduce_only が無い	-	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に oco が無い	-	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に oco が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	adapter: PineForge(5e62602c) native C API: 相場の入力は時間枠の区切りに乗った足だけで、約定 1 件ごとの足(約定の時刻)は核が拒む(ERROR run rc=-11 native confirmed bar timestamp is not a canonical slot label)	-	結果なし	0.0	0.0
c2-2-amend-price	C2-2	値	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に amend が無い	-	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に amend が無い	-	結果なし	adapter: PineForge(5e62602c) native C API: 公開の口に amend が無い	-	結果なし	0.0	0.0
