scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-split-utc	C3-1	値	結果なし	adapter: calendar_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: calendar_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
v1-split-jst	C3-1	値	結果なし	adapter: calendar_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: calendar_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
v1-wf-rolling	C3-1	値	結果なし	adapter: walk_forward: SCAN 6689・6918 行が名を挙げた walk_forward.rs は日足の表の上の信号の枠で、この要求の毎時の行を渡せない。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: walk_forward: SCAN 6689・6918 行が名を挙げた walk_forward.rs は日足の表の上の信号の枠で、この要求の毎時の行を渡せない。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
v1-wf-equal	C3-1	値	結果なし	adapter: walk_forward: SCAN 6689・6918 行が名を挙げた walk_forward.rs は日足の表の上の信号の枠で、この要求の毎時の行を渡せない。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: walk_forward: SCAN 6689・6918 行が名を挙げた walk_forward.rs は日足の表の上の信号の枠で、この要求の毎時の行を渡せない。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
a1-wf-fit-eval	C3-1	能力	結果なし	adapter: walk_forward_eval: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: walk_forward_eval: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
v2-purge-embargo	C3-2	値	結果なし	adapter: purged_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: purged_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
v2-cpcv-split	C3-2	値	結果なし	adapter: cpcv: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: cpcv: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.003	0.001
a2-cpcv-paths	C3-2	能力	結果なし	adapter: cpcv_paths: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: cpcv_paths: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
v3-block-bootstrap	C3-3	値	結果なし	adapter: block_bootstrap: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: block_bootstrap: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
v4-mde-two-sided	C3-4	値	結果なし	adapter: mde: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	adapter: mde: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した	-	結果なし	0.001	0.001
