scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-split-utc	C3-1	値	結果なし	adapter: calendar_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: calendar_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.002	0.001
v1-split-jst	C3-1	値	結果なし	adapter: calendar_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: calendar_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'train.?val|val_end|holdout|out.?of.?sample' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v1-wf-rolling	C3-1	値	結果なし	adapter: walk_forward: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: walk_forward: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.002	0.001
v1-wf-equal	C3-1	値	結果なし	adapter: walk_forward: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: walk_forward: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.002	0.001
a1-wf-fit-eval	C3-1	能力	結果なし	adapter: walk_forward_eval: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: walk_forward_eval: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'walk.?forward|rolling.?window|expanding.?window|fitting.?dates' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.002	0.001
v2-purge-embargo	C3-2	値	結果なし	adapter: purged_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'purg(e|ing)|embargo' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: purged_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'purg(e|ing)|embargo' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v2-cpcv-split	C3-2	値	結果なし	adapter: cpcv: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: cpcv: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
a2-cpcv-paths	C3-2	能力	結果なし	adapter: cpcv_paths: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: cpcv_paths: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'cpcv|combinatorial' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v3-block-bootstrap	C3-3	値	結果なし	adapter: block_bootstrap: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'bootstrap' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: block_bootstrap: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'bootstrap' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.002	0.001
v4-mde-two-sided	C3-4	値	結果なし	adapter: mde: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: mde: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v4-mde-one-sided	C3-4	値	結果なし	adapter: mde: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: mde: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v4-verdict	C3-4	値	結果なし	adapter: verdict: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: verdict: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
a4-no-mde-no-negative	C3-4	能力	結果なし	adapter: verdict: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: verdict: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'minimum.?detectable|\bmde\b|statistical.?power' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v5-dsr	C3-5	値	結果なし	adapter: dsr: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'deflated' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: dsr: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'deflated' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v5-dsr-returns	C3-5	値	結果なし	adapter: dsr_returns: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'deflated' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: dsr_returns: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'deflated' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.002	0.001
v5-pbo	C3-5	値	結果なし	adapter: pbo: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE '\bpbo\b|backtest.?overfitting' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: pbo: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE '\bpbo\b|backtest.?overfitting' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v6-iter-count	C3-6	値	結果なし	adapter: iter_ledger: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'n_trials|num_trials|trial.?count' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: iter_ledger: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'n_trials|num_trials|trial.?count' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
v6-iter-dsr	C3-6	値	結果なし	adapter: iter_dsr: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'n_trials|num_trials|trial.?count' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: iter_dsr: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'n_trials|num_trials|trial.?count' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.001	0.001
a6-sealed-env	C3-6	能力	結果なし	adapter: sealed_read: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'unseal|sealed' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: sealed_read: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'unseal|sealed' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.003	0.002
a6-sealed-approval	C3-6	能力	結果なし	adapter: sealed_read: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'unseal|sealed' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	adapter: sealed_read: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'unseal|sealed' <venvs>/item_2/src/c95 → 0 ファイル	-	結果なし	0.003	0.002
