target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1
opp_barter	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	この道具の市場の事象の型は DataKind の Trade・OrderBookL1・OrderBook(Snapshot / Update)・Candle・Liquidation の 5 つで(barter-data/src/event.rs)、資金調達 を渡す型が無い
opp_barter	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	足を Candle の MarketEvent にして 1 本の流れで渡し、戦略の各回に InstrumentDataState が受けた (型, time_exchange)
opp_barter	p1-typed-events	P0-1	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	足は Candle、約定は Trade(PublicTrade)の MarketEvent。戦略の各回に受けた (型, time_exchange)
opp_barter	p2-iso-utc	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	道具の市場の事象の記録(MarketStreamEvent の JSON。道具の例の資料と同じ形)の time_exchange に ISO の文字列を書き、道具の読み込み(serde + chrono の DateTime<Utc>)で読んだ時刻。{'parsed_ns': 1704067200123456789}
opp_barter	p2-iso-offset	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	1704067200123456789	ok	1704067200123456789	1704067200123456789	道具の市場の事象の記録(MarketStreamEvent の JSON。道具の例の資料と同じ形)の time_exchange に ISO の文字列を書き、道具の読み込み(serde + chrono の DateTime<Utc>)で読んだ時刻。{'parsed_ns': 1704067200123456789}
opp_barter	p2-event-time-exact	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456789]}"	ok	"{""observed_ts_ns"": [1700006400123456789]}"	"{""observed_ts_ns"": [1700006400123456789]}"	約定(Trade)の time_exchange(DateTime<Utc>、ナノ秒)で渡し、戦略の各回に受けた時刻
opp_barter	p2-one-ns-apart	P0-2	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	約定(Trade)の time_exchange(DateTime<Utc>、ナノ秒)で渡し、戦略の各回に受けた時刻
opp_barter	p3-trade	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	ok	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	1 件を道具の型(Trade = PublicTrade / OrderBook::Snapshot / OrderBook::Update / Candle / Liquidation)の MarketEvent で渡し、戦略の回に InstrumentDataState が受けた型・時刻・欄(板の値と量は Decimal の文字列を数に)。道具の型名 public_trade
opp_barter	p3-book_snapshot	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	ok	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	1 件を道具の型(Trade = PublicTrade / OrderBook::Snapshot / OrderBook::Update / Candle / Liquidation)の MarketEvent で渡し、戦略の回に InstrumentDataState が受けた型・時刻・欄(板の値と量は Decimal の文字列を数に)。道具の型名 l2
opp_barter	p3-book_delta	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	ok	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	1 件を道具の型(Trade = PublicTrade / OrderBook::Snapshot / OrderBook::Update / Candle / Liquidation)の MarketEvent で渡し、戦略の回に InstrumentDataState が受けた型・時刻・欄(板の値と量は Decimal の文字列を数に)。道具の型名 l2
