target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
opp_gobacktest	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000], [""funding"", 1700265600000000000], [""bar"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	この道具の相場の事象の型は Bar(OHLCV)と Tick(買い気配と売り気配)の 2 つで、約定と資金調達 を渡す口が無い(入力も Data の 1 本の流れ)	null
opp_gobacktest	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}"	足を Bar にして Data.SetStream、OnData の各回に (事象の型, Time().UnixNano())	"{""carriers"": [""go:*gobacktest.Bar"", ""go:*gobacktest.Bar"", ""go:*gobacktest.Bar"", ""go:*gobacktest.Bar"", ""go:*gobacktest.Bar""]}"
opp_gobacktest	p1-typed-events	P0-1	capability	不一致	不一致	2 回の実行で同じ	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""tick"", 1700179200000000000]]}"	ok	"{""sequence"": [[""bar"", 1700092800000000000], [""tick"", 1700179200000000000]]}"	"{""sequence"": [[""bar"", 1700092800000000000], [""trade"", 1700179200000000000]]}"	足は Bar、約定は約定の型が無いので Tick(買い気配 = 売り気配 = 約定の値)で渡し、OnData が受けた型と時刻	"{""carriers"": [""go:*gobacktest.Bar"", ""go:*gobacktest.Tick""]}"
opp_gobacktest	p2-iso-utc	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	null	ok	null	1704067200123456789	"道具の CSV の読み込み(data.BarEventFromCSVFile、data/data-csv.go は Date を time.Parse(""2006-01-02"") で読む)に ISO の日付を 1 行書いて Load。読めた行の時刻 []、Load の誤り ''(読めない行は誤りを返さずに捨てる)"	"{""reader"": ""go:github.com/dirkolbrich/gobacktest/data.BarEventFromCSVFile.Load""}"
opp_gobacktest	p2-iso-offset	P0-2	value	不一致	不一致	2 回の実行で同じ	ok	null	ok	null	1704067200123456789	"道具の CSV の読み込み(data.BarEventFromCSVFile、data/data-csv.go は Date を time.Parse(""2006-01-02"") で読む)に ISO の日付を 1 行書いて Load。読めた行の時刻 []、Load の誤り ''(読めない行は誤りを返さずに捨てる)"	"{""reader"": ""go:github.com/dirkolbrich/gobacktest/data.BarEventFromCSVFile.Load""}"
opp_gobacktest	p2-event-time-exact	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456789]}"	ok	"{""observed_ts_ns"": [1700006400123456789]}"	"{""observed_ts_ns"": [1700006400123456789]}"	Bar の時刻(time.Time)で渡し、OnData の event.Time().UnixNano()	"{""carriers"": [""go:*gobacktest.Bar""]}"
opp_gobacktest	p2-one-ns-apart	P0-2	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	Bar の時刻(time.Time)で渡し、OnData の event.Time().UnixNano()	"{""carriers"": [""go:*gobacktest.Bar"", ""go:*gobacktest.Bar""]}"
opp_gobacktest	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	この道具の相場の事象の型は Bar(OHLCV)と Tick(買い気配と売り気配)の 2 つで、trade を渡す口が無い	null
opp_gobacktest	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	この道具の相場の事象の型は Bar(OHLCV)と Tick(買い気配と売り気配)の 2 つで、book_snapshot を渡す口が無い	null
opp_gobacktest	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	この道具の相場の事象の型は Bar(OHLCV)と Tick(買い気配と売り気配)の 2 つで、book_delta を渡す口が無い	null
opp_gobacktest	p3-bar	P0-3	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	ok	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	"{""fields"": {""close"": 100.5, ""high"": 101.0, ""low"": 99.0, ""open"": 100.0, ""volume"": 12.0}, ""sequence"": [[""bar"", 1700092800000000000]]}"	足 1 本を Bar で渡した。OnData が受けた Bar の型・時刻と欄(Open / High / Low / Close / Volume。Volume は int64)	"{""carriers"": [""go:*gobacktest.Bar""]}"
opp_gobacktest	p3-funding	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""rate"": 0.0001}, ""sequence"": [[""funding"", 1700092800000000000]]}"	この道具の相場の事象の型は Bar(OHLCV)と Tick(買い気配と売り気配)の 2 つで、funding を渡す口が無い	null
opp_gobacktest	p3-liquidation	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 4990000.0, ""qty"": 0.2, ""side"": ""sell""}, ""sequence"": [[""liquidation"", 1700092800000000000]]}"	この道具の相場の事象の型は Bar(OHLCV)と Tick(買い気配と売り気配)の 2 つで、liquidation を渡す口が無い	null
opp_gobacktest	p3-mixed-one-run	P0-3	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""bar"", 1700352000000000000], [""funding"", 1700438400000000000], [""liquidation"", 1700524800000000000]]}"	この道具の相場の事象の型は Bar(OHLCV)と Tick(買い気配と売り気配)の 2 つで、約定・板の写真・板の差分・資金調達・清算 を渡す口が無い	null
opp_gobacktest	p3-clock-timer	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""clock_calls_ns"": [1700352000000000000]}"	戦略を頼んだ時刻に呼ぶ口が無い(OnData はデータの事象ごとだけ)	null
opp_gobacktest	p3-notice-accepted	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""accepted""]}"	注文の受付・拒否・約定を戦略に知らせる口が無い(約定は Exchange -> Portfolio.OnFill に渡り、StrategyHandler に知らせの口が無い)	null
opp_gobacktest	p3-notice-rejected	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""notices"": [""rejected""]}"	注文の受付・拒否・約定を戦略に知らせる口が無い(約定は Exchange -> Portfolio.OnFill に渡り、StrategyHandler に知らせの口が無い)	null
opp_gobacktest	p3-notice-filled	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""filled_qty_in_notices"": 1.0}"	注文の受付・拒否・約定を戦略に知らせる口が無い(約定は Exchange -> Portfolio.OnFill に渡り、StrategyHandler に知らせの口が無い)	null
opp_gobacktest	p4-visible-at-step	P0-4	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	ok	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	"{""max_visible_close"": 103.0, ""visible_count"": 4}"	T0 + 4 日の OnData で、戦略の Data().History() の件数と Price() の最大	"{""reads"": [{""means"": ""go:Data().History() の Price()(driver が T0 + 4 日の OnData で読んだ列)"", ""of"": ""go:github.com/dirkolbrich/gobacktest.Data.History"", ""returned"": [100.0, 101.0, 102.0, 103.0], ""touched"": [], ""touched_count"": 0}]}"
opp_gobacktest	p4-received-time	P0-4	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""price101_delivered_at_ns"": 1700265600000000000, ""price101_visible_at_day2"": false, ""price101_visible_at_day4"": true}"	事象に受け取れる時刻を持たせる口が無い(Bar / Tick の時刻は Time() の 1 つ)	null
