scene_id	target	correctness	reproducibility	detail_1
p6-place-then-cancel	opp_ziplime	結果なし	結果なし	取消のあと、走行が止まった。context.cancel_order は blotter.order_cancelled を呼び、これが未決の注文の辞書を資産ではなく資産の番号(order.asset.sid)で引くので(in_memory_blotter.py 74 行、登録は 69 行で資産で引く)、辞書に番号の鍵が足され、次の足で SimulationExchange.get_transactions が番号を資産として扱って落ちた。取消の呼び出しで起きたこと: ["cancel_order(id, 'LIME') -> TypeError: SimulationExchange.cancel_order() got an unexpected keyword argument 'order_id'"]。走行の例外: AttributeError: 'int' object has no attribute 'asset'。それまでに記録した値: {'open_at_call2': 1}
p2-iso-utc	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(ISO 8601 の文字列の読み)は LEAN にあるが書き直していないので結果が無い
p2-iso-offset	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(ISO 8601 の文字列の読み)は LEAN にあるが書き直していないので結果が無い
p3-clock-timer	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(予定の事象(Schedule.On))は LEAN にあるが書き直していないので結果が無い
p3-notice-accepted	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(注文と注文の事象(OnOrderEvent))は LEAN にあるが書き直していないので結果が無い
p3-notice-rejected	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(注文と注文の事象(OnOrderEvent))は LEAN にあるが書き直していないので結果が無い
p3-notice-filled	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(注文と注文の事象(OnOrderEvent))は LEAN にあるが書き直していないので結果が無い
p4-visible-at-step	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(履歴の読み(History))は LEAN にあるが書き直していないので結果が無い
p4-received-time	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(受け取りの時刻の模型)は LEAN にあるが書き直していないので結果が無い
p4-future-read-attempt	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(履歴の読み(History)と先読みの止め)は LEAN にあるが書き直していないので結果が無い
p6-place-then-cancel	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(注文・取消)は LEAN にあるが書き直していないので結果が無い
p6-cancel-notice	repro_lean52	結果なし	結果なし	再現の範囲外: 候補 52 は LEAN のデータの道(型・購読・frontier・同期・Slice・OnData)だけを一次資料どおりに書き直した(opponents/repro_engines/lean52.py)。この場面の機構(注文・取消)は LEAN にあるが書き直していないので結果が無い
