scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.001	0.001
c2-1-limit	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-1-postonly	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
c2-2-amend-price	C2-2	値	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	adapter: fast-trade 2.1.0: 注文(種類・値・数量・時刻)・板・約定の列を渡す口が無い(条件の表で残高の全部を足の終値で売買する)。口は OHLCV の表に入りと出の条件の表を当てる run_backtest だけで、注文の種類・値・数量・時刻・遅延・口座の口が無い。試したこと(道具の公開の口を実際に読んだ): fast_trade.run_backtest.run_backtest(backtest: dict, df: pandas.DataFrame = Empty DataFrame Columns: [] Index: [], summary=True, progress_callback=None) / fast_trade.validate_backtest.validate_backtest(backtest)	-	結果なし	0.0	0.0
