scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
i4-1-ref-taker	I4-1	値	結果なし	adapter: QuantConnect LEAN FillModel(b1337938)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: QuantConnect LEAN FillModel(b1337938)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-1-ref-maker	I4-1	値	結果なし	adapter: QuantConnect LEAN FillModel(b1337938)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	adapter: QuantConnect LEAN FillModel(b1337938)(再現): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い	-	結果なし	0.0	0.0
i4-2-grid-all	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): slippage_pct: 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / spread_pct: 再現していない: 気配の買い・売りの値は足(TradeBar)の外(Common/Orders/Fills/FillModel.cs(b1337938) は TradeBar の値で約定する) / 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): slippage_pct: 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / spread_pct: 再現していない: 気配の買い・売りの値は足(TradeBar)の外(Common/Orders/Fills/FillModel.cs(b1337938) は TradeBar の値で約定する) / 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): slippage_pct: 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / spread_pct: 再現していない: 気配の買い・売りの値は足(TradeBar)の外(Common/Orders/Fills/FillModel.cs(b1337938) は TradeBar の値で約定する) / 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): slippage_pct: 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / spread_pct: 再現していない: 気配の買い・売りの値は足(TradeBar)の外(Common/Orders/Fills/FillModel.cs(b1337938) は TradeBar の値で約定する) / 再現していない: 滑りは slippage model の値で(Common/Orders/Fills/FillModel.cs(b1337938) 378・390 行)、その模型の行は読んでいない / 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid-stop	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid-tp	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid-maker	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid-mtp	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid-swap	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): swap_daily_pct: 再現していない: 持ち越し(margin interest)の模型は読んだ範囲に無い / 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): swap_daily_pct: 再現していない: 持ち越し(margin interest)の模型は読んだ範囲に無い / 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid-hold	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
i4-2-grid-wick	I4-2	値	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	場合 0: adapter: QuantConnect LEAN FillModel(b1337938)(再現): 再現していない: 足ごとの資産は SecurityPortfolioManager の外の結果の処理にあり、読んでいない	-	結果なし	0.0	0.0
