scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
v1-split-utc	C3-1	値	結果なし	adapter: 旧 walk_forward.split_data(train_frac, val_frac)(src/bot/backtest/walk_forward.py 20-32 行)は行の数の割合で切るだけで、日付・時間帯を渡す引数が無い	-	結果なし	adapter: 旧 walk_forward.split_data(train_frac, val_frac)(src/bot/backtest/walk_forward.py 20-32 行)は行の数の割合で切るだけで、日付・時間帯を渡す引数が無い	-	結果なし	0.001	0.001
v1-split-jst	C3-1	値	結果なし	adapter: 旧 walk_forward.split_data(train_frac, val_frac)(src/bot/backtest/walk_forward.py 20-32 行)は行の数の割合で切るだけで、日付・時間帯を渡す引数が無い	-	結果なし	adapter: 旧 walk_forward.split_data(train_frac, val_frac)(src/bot/backtest/walk_forward.py 20-32 行)は行の数の割合で切るだけで、日付・時間帯を渡す引数が無い	-	結果なし	0.001	0.001
v1-wf-rolling	C3-1	値	結果なし	adapter: 旧 walk_forward.evaluate_on_splits(同 36-53 行)は split_data の 3 分割を 1 回回すだけで、窓を切り直す口が無い	-	結果なし	adapter: 旧 walk_forward.evaluate_on_splits(同 36-53 行)は split_data の 3 分割を 1 回回すだけで、窓を切り直す口が無い	-	結果なし	0.001	0.001
v1-wf-equal	C3-1	値	結果なし	adapter: 旧 walk_forward.evaluate_on_splits(同 36-53 行)は split_data の 3 分割を 1 回回すだけで、窓を切り直す口が無い	-	結果なし	adapter: 旧 walk_forward.evaluate_on_splits(同 36-53 行)は split_data の 3 分割を 1 回回すだけで、窓を切り直す口が無い	-	結果なし	0.001	0.001
a1-wf-fit-eval	C3-1	能力	結果なし	adapter: 同上(窓を切り直す口が無い)	-	結果なし	adapter: 同上(窓を切り直す口が無い)	-	結果なし	0.001	0.001
v2-purge-embargo	C3-2	値	結果なし	adapter: src/bot/backtest/ と src/bot/research/ に purge・embargo の口が無い(grep -rn 'purg\|embargo' の当たり 0)	-	結果なし	adapter: src/bot/backtest/ と src/bot/research/ に purge・embargo の口が無い(grep -rn 'purg\|embargo' の当たり 0)	-	結果なし	0.001	0.001
v2-cpcv-split	C3-2	値	結果なし	adapter: src/bot/backtest/ と src/bot/research/ に CPCV の口が無い(grep -rni 'cpcv\|combinatorial' の当たり 0)	-	結果なし	adapter: src/bot/backtest/ と src/bot/research/ に CPCV の口が無い(grep -rni 'cpcv\|combinatorial' の当たり 0)	-	結果なし	0.001	0.001
a2-cpcv-paths	C3-2	能力	結果なし	adapter: 同上(CPCV の口が無い)	-	結果なし	adapter: 同上(CPCV の口が無い)	-	結果なし	0.001	0.001
v3-block-bootstrap	C3-3	値	正解と一致		c123eff4c5b1f78e	正解と一致		c123eff4c5b1f78e	2 回の実行で同じ	0.303	0.284
v4-mde-two-sided	C3-4	値	結果なし	adapter: src/bot/ に MDE の関数が無い(grep -rniE 'def .*(mde|minimum_detectable)' src/ の当たり 0。規則は research-protocol §4.1 の文だけ)	-	結果なし	adapter: src/bot/ に MDE の関数が無い(grep -rniE 'def .*(mde|minimum_detectable)' src/ の当たり 0。規則は research-protocol §4.1 の文だけ)	-	結果なし	0.001	0.001
