scene	target	cand	class_1	repro	picked	max_secs	detail_1
i4-1-ref-taker	opp_backtrader	2	結果なし	結果なし	選んだ	0.0	adapter: Backtrader 1.9.78.123: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_backtesting	55	結果なし	結果なし		0.0	adapter: backtesting.py 0.6.6: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_vectorbt	73	結果なし	結果なし		0.0	adapter: vectorbt 1.1.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_pyalgotrade	122	結果なし	結果なし		0.0	adapter: PyAlgoTrade 0.20: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_pybroker	4	結果なし	結果なし		0.0	adapter: PyBroker 2.0.1: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_luczinsritter	16	結果なし	結果なし		0.0	adapter: Luczinsritter/event_driven_backtesting_engine (commit 2092992): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_vnpy	20	結果なし	結果なし		0.0	adapter: VnPy 4.4.0 + vnpy_ctastrategy 1.4.1 (BAR): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_basana	1	結果なし	結果なし		0.0	adapter: Basana 1.11: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_bt	5	結果なし	結果なし		0.0	adapter: bt 1.2.3: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_qtradex	72	結果なし	結果なし		0.0	adapter: QTradeX 1.8.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_ziplime	6	結果なし	結果なし		0.0	adapter: ziplime 1.19.16: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_qstrader	121	結果なし	結果なし		0.0	adapter: QSTrader 0.3.0: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_finmarketpy	54	結果なし	結果なし		0.0	adapter: finmarketpy 0.11.19: 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_pysystemtrade	3	結果なし	結果なし		0.0	adapter: PySystemtrade (commit 8958c49c): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
i4-1-ref-taker	opp_qlib	21	結果なし	結果なし		0.0	adapter: Qlib (pyqlib 0.9.7): 道具の中に、同じ入力を本体とは別に計算する独立の参照実装の口を探したが無い
