target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1	types_in	types_added	requests
opp_akurkar07_orderbook	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
opp_akurkar07_orderbook	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	この道具は C++ の照合の機関(OrderBook の place_limit_order / place_market_order / cancel_order)だけで、相場の事象を受ける口・事象ごとに戦略を呼ぶ口・通知・時計・遅延・費用・口座が無く、注文の時刻は構築の瞬間の steady_clock。試したこと: c101_driver(rc=0) -> place_limit_order(Sell 100.0 x100 id=1) fills=0 | place_market_order(Buy x1 id=2) fills=1 [px=100.00 qty=1 buy=2 sell=1] | place_limit_order(Buy 90.0 x1 id=3) fills=0 | cancel_order(3) -> 1 | book_empty=0	null	{}	[]	null	[]	[]	null
